Character,Middle Chinese,Cantonese,Mandarin
倭,ʔwa2,wo2,wo3
倯,sjowng1,sung1,song1
倰,long1,ling4,leng2
倱,hwon2,wan6,hun4
倲,tuwng1,dung1,dong1
倳,tsri3,zi3,zi4
值,dri3,zik6,zhi2
值,dri3,zik6,zhi4
偁,tshying1,cing1,cheng1
偃,ʔjon2,jin2,yan3
偄,nywen2,jyun5,ruan3
偅,tsyowng3,zung3,zhong4
偆,tshywin2,ceon2,chun1
假,kæ2,gaa2,jia3
假,kæ3,gaa3,jia4
偈,gjej3,gai6,ji4
偈,gjet4,git6,jie2
偉,hjwɨj2,wai5,wei3
偋,bjieng3,bing6,bing4
偎,ʔwoj1,wui1,wei1
偏,phjen1,pin1,pian1
偑,pjuwng1,fung1,feng1
偒,thang2,tong2,tang3
偓,ʔæwk4,ak1,wo4
偔,ngak4,ngok6,e4
偕,kɛj1,gaai1,xie2
偛,tsrɛp4,zaap3,cha1
停,deng1,ting4,ting2
偝,bwoj3,bui3,bei4
偞,yep4,jip6,xie4
偟,hwang1,wong4,huang2
偠,ʔew2,jiu2,yao3
偡,drɛm2,zaam6,zhan4
偤,yuw1,jau4,you2
健,gjon3,gin6,jian4
偩,bjuw2,fu6,fu4
偪,pik4,bik1,bi1
偫,dri2,zi6,zhi4
偭,mjen2,min5,mian3
偯,ʔjɨj2,ji2,yi3
偰,set4,sit3,xie4
偲,tshoj1,caai1,cai1
偲,si1,si1,si1
偳,twan1,zeoi3,duan1
側,tsrik4,zak1,ce4
偵,trhjieng1,zing1,zhen1
偶,nguw2,ngau5,ou3
偶,nguw3,ngau5,ou3
偷,thuw1,tau1,tou1
偽,ngjwe3,ngai6,wei3
傀,khwoj2,faai3,kui3
傀,kwoj1,gwai1,gui1
傂,drje2,zi6,zhi4
傂,sje1,zi6,si1
傃,su3,sou3,su4
傅,pju3,fu6,fu4
傆,ngjwon3,jyun6,yuan4
傋,kæwng2,gong2,jiang3
傌,mæ3,maa6,ma4
傍,bang3,bong6,bang4
傍,bang1,pong4,pang2
傎,ten1,din1,dian1
傏,dang1,tong4,tang2
傑,gjet4,git6,jie2
傒,hej1,hai4,xi1
傔,khem3,him3,qian4
